,City,Country,Temperature (F),Latitude,Longitude,Humidity (%),Cloudiness (%),Wind Speed (mph)
347,Sembakung,ID,85.98,3.82,117.25,78.0,48.0,2.37
348,Waipawa,NZ,53.01,-39.94,176.59,72.0,92.0,1.01
349,Thunder Bay,CA,28.78,48.41,-89.26,100.0,90.0,4.7
350,Atar,MR,47.69,20.52,-13.05,46.0,0.0,4.16
351,Richards Bay,ZA,69.11,-28.77,32.06,92.0,0.0,5.84
352,Marsh Harbour,BS,75.5,26.54,-77.06,100.0,88.0,10.42
353,Itarema,BR,73.25,-2.92,-39.92,97.0,24.0,2.82
354,Trelew,AR,69.33,-43.25,-65.31,32.0,80.0,23.06
355,Llanes,ES,46.72,43.42,-4.75,86.0,80.0,2.26
356,Manggar,ID,86.57,-2.88,108.27,89.0,44.0,6.62
357,Natal,BR,76.08,-5.81,-35.21,94.0,20.0,3.36
358,Plettenberg Bay,ZA,65.46,-34.05,23.37,100.0,100.0,4.27
359,Tarabuco,BO,51.69,-19.18,-64.92,98.0,92.0,3.15
360,Geneva,FR,33.71,46.2,6.15,80.0,0.0,2.24
361,Sychevka,RU,25.23,55.83,34.27,86.0,0.0,10.2
362,Jieshi,CN,75.23,22.82,115.83,88.0,68.0,16.8
363,Lexington Park,US,64.58,38.26,-76.45,77.0,75.0,3.36
364,Harper,US,66.11,30.3,-99.24,82.0,90.0,8.05
365,Anju,KP,53.31,39.62,125.66,79.0,0.0,11.21
366,San Ignacio,CL,54.39,-36.8,-72.03,87.0,80.0,2.71
367,Sirnak,TR,23.16,37.52,42.46,90.0,0.0,1.92
368,Iqaluit,CA,21.09,63.75,-68.52,73.0,90.0,16.11
369,Kulhudhuffushi,MV,84.63,6.62,73.07,100.0,100.0,4.83
370,Chipinge,ZW,59.43,-20.19,32.62,96.0,32.0,2.48
371,Beisfjord,NO,34.36,68.38,17.6,86.0,75.0,19.46
372,Freeport,BS,78.96,26.54,-78.7,91.0,64.0,10.76
373,Karasburg,NA,68.79,-28.01,18.75,41.0,80.0,5.06
374,Moose Factory,CA,33.8,51.26,-80.61,100.0,90.0,6.93
375,Belawan,ID,81.48,-0.59,114.46,89.0,68.0,2.71
376,Tabuk,PH,76.8,17.41,121.44,82.0,48.0,2.59
377,Whitehorse,CA,39.09,60.72,-135.06,35.0,75.0,8.05
378,Grand-Santi,GF,75.63,4.27,-54.38,92.0,12.0,3.6
